word,folio
aT9,['70v2.2nd_ring']
om9,['72v1.4th_ring']
ohay,['57v.outer_ring']
ohay,['67r2.red_outer_ring']
ohay,['67r2.3rd_ring']
ohay,['67v2.moon_bottom_left']
ohay,['68r1.moon']
ohay,['68r2.moon']
ohay,['69r.radial_1']
ohay,['69r.radial_4']
ohay,['69v.outer_ring']
ohay,['70r2.outside_ring']
ohay,['70v2.4th_ring']
ohay,['71v.2nd_ring']
ohay,['72r1.3rd_ring']
ohay,['72r2.top']
ohay,['72r2.4th_ring']
ohay,['72r3.outer_ring']
ohay,['72v3.4th_ring']
ohay,['72v1.3rd_ring']
ohay,['78r.label_right_4']
ohay,['83v.labels_middle']
ohay,['84v.labels_middle_right']
ohay,['85r2.quad_3_4']
ohay,['rose.swest_center']
ohay,['rose.south_labels_3']
ohay,['rose.seast_ring']
ohay,['rose.seast_center_6']
ohay,['rose.east_ring']
ohay,['89v2.labels_top']
ohay,['89v1.labels_top']
ohay,['99r.labels_top_1']
ohay,['101v2-v1.8']
ohaT,['70v2.2nd_ring']
9ha,['66r.labels_down_left_side']
9ha,['67r1.outer_ring']
9ha,['67r1.center']
9ha,['67r2.red_outer_ring']
9ha,['67v2.outer_ring_east_2']
9ha,['67v2.sun_bottom_right']
9ha,['69v.outer_ring']
9ha,['69v.2nd_ring']
9ha,['70r2.4th_ring']
9ha,['72r3.2nd_ring']
9ha,['72r3.4th_ring']
9ha,['72v3.2nd_ring']
9ha,['86v3.north_4']
9ha,['86v3.north_5']
9ha,['86v3.north_6']
9ha,['86v3.east_2']
9ha,['86v3.west_2']
9ha,['rose.east_ring']
9ha,['rose.neast_center_2']
9ha,['rose.north_ring']
9ha,['88r.13']
9ha,['89v2.labels_middle']
hayo,['57v.outer_ring']
hayo,['67r1.outer_ring']
ohaT9,['70v2.2nd_ring']
oan,['72r3.3rd_ring']
oan,['88r.3']
oam,['67r2.2nd_ring_9']
oam,['67v2.outer_ring_east_2']
oam,['67v2.radial_west']
oam,['67v2.center_1']
oam,['68r2.sun']
oam,['70v2.outer_ring']
oam,['86v3.west_4']
oam,['rose.west_ring']
oam,['101r1-r2.7']
yoh9,['67v1.center_11']
o9h,['69v.radial_1']
Tay,['71r.2nd_ring']
yoh,['67v1.center_11']
9oy,['89r2.labels_bottom']
ay9,['66r.labels_down_left_side']
ay9,['67r1.2nd_ring']
ay9,['67r1.center']
ay9,['67v2.center_2']
ay9,['67v1.outer_ring']
ay9,['67v1.center_12']
ay9,['68r1.sun']
ay9,['68r3.pieslice_1']
ay9,['68v2.pieslice_4']
ay9,['68v2.radial_6']
ay9,['69r.radial_2']
ay9,['69r.radial_22']
ay9,['69v.radial_12']
ay9,['69v.radial_27']
ay9,['70r1.3rd_ring']
ay9,['71r.2nd_ring']
ay9,['72r1.2nd_ring']
ay9,['72r1.4th_ring']
ay9,['72r2.2nd_ring']
ay9,['72r3.4th_ring']
ay9,['72r3.5th_ring']
ay9,['72r3.6th_ring']
ay9,['72v3.4th_ring']
ay9,['72v2.center_ring']
ay9,['72v1.outer_ring']
ay9,['73r.4th_ring']
ay9,['73v.outer_ring']
ay9,['73v.center_ring']
ay9,['75v.label_text_1']
ay9,['82r.label_bottom_1']
ay9,['83v.labels_middle']
ay9,['85r2.quad_1_1']
ay9,['85r2.quad_2_2']
ay9,['86v3.center_6']
ay9,['rose.seast_ring']
ay9,['rose.east_center_2']
ay9,['rose.neast_center_2']
ay9,['rose.north_center']
ay9,['rose.center_2nd_ring']
ay9,['rose.center_center_4']
ay9,['88r.labels_middle']
ay9,['88v.labels_bottom']
ay9,['89v2.labels_middle']
ay9,['99r.labels_top_1']
ay9,['99v.labels_top']
ay9,['99v.labels_middle_1']
ay9,['100r.labels_1']
ay9,['101v2-v1.labels_2']
hoam,['67v2.outer_ring_east_2']
hoam,['67v2.radial_west']
hoam,['68r2.sun']
hoam,['rose.west_ring']
may,['68r1.labels_5']
oma,['68r1.labels_5']
hoyan,['89r2.labels_middle_2']
hoyam,['101v2-v1.1']
9hoy,['67r2.2nd_ring_6']
9am,['101v2-v1.5']
ano,['75r.center_text']
oha,['57v.outer_ring']
oha,['66r.labels_down_left_side']
oha,['67r1.outer_ring']
oha,['67r2.red_outer_ring']
oha,['67r2.2nd_ring_4']
oha,['67r2.2nd_ring_6']
oha,['67r2.2nd_ring_8']
oha,['67r2.3rd_ring']
oha,['67v2.outer_ring_east_1']
oha,['67v2.moon_bottom_left']
oha,['67v1.outer_ring']
oha,['68r1.moon']
oha,['68r2.moon']
oha,['68r3.radial_5']
oha,['68v3.outer_ring']
oha,['68v3.spiral_1']
oha,['68v3.spiral_2']
oha,['69r.outside_ring']
oha,['69r.radial_1']
oha,['69r.radial_4']
oha,['69v.outer_ring']
oha,['70r1.1st_ring']
oha,['70r1.2nd_ring']
oha,['70r2.outside_ring']
oha,['70v2.outer_ring']
oha,['70v2.2nd_ring']
oha,['70v2.4th_ring']
oha,['70v1.2nd_ring']
oha,['71r.3rd_ring']
oha,['71v.outer_ring']
oha,['71v.2nd_ring']
oha,['71v.3rd_ring']
oha,['71v.center_ring']
oha,['72r1.outer_ring']
oha,['72r1.3rd_ring']
oha,['72r2.top']
oha,['72r2.outer_ring']
oha,['72r2.2nd_ring']
oha,['72r2.3rd_ring']
oha,['72r2.4th_ring']
oha,['72r2.center_ring']
oha,['72r3.outer_ring']
oha,['72r3.2nd_ring']
oha,['72r3.4th_ring']
oha,['72v3.2nd_ring']
oha,['72v3.4th_ring']
oha,['72v2.3rd_ring']
oha,['72v2.4th_ring']
oha,['72v1.3rd_ring']
oha,['72v1.4th_ring']
oha,['73v.top']
oha,['73v.outer_ring']
oha,['73v.4th_ring']
oha,['75v.label_text_1']
oha,['75v.label_text_2']
